official_code,script_code,origin,card_type
00295517,295517,authored_200,524290
01184620,,authored_200,17
01784619,,authored_200,17
01784686,1784686,authored_200,2
01861629,1861629,authored_200,67108897
02129638,2129638,authored_200,97
02314238,2314238,legacy_presentation,2
02504891,2504891,authored_200,65
02857636,2857636,legacy_presentation,67108897
02863439,,authored_200,17
03027001,3027001,authored_200,4
03078380,3078380,authored_200,33
04031928,4031928,authored_200,2
04206964,4206964,authored_200,4
04335645,4335645,legacy_presentation,33
04614116,4614116,authored_200,262146
05318639,5318639,authored_200,65538
05405694,5405694,authored_200,129
06172122,6172122,authored_200,2
06368038,,authored_200,17
07084129,7084129,authored_200,33
07089711,7089711,authored_200,2097185
07198399,7198399,legacy_presentation,33
07572887,7572887,authored_200,33
07922915,7922915,legacy_presentation,4
08240199,8240199,authored_200,4129
08267140,8267140,authored_200,65538
09076207,9076207,authored_200,2097185
09287078,9287078,legacy_presentation,4
09293977,9293977,authored_200,65
09596126,9596126,authored_200,33554465
09653271,9653271,authored_200,65
10045474,10045474,authored_200,4
10202894,,authored_200,17
10515412,10515412,legacy_presentation,8225
11384280,11384280,authored_200,33
11443677,11443677,legacy_presentation,97
11901678,11901678,authored_200,65
12266229,12266229,authored_200,161
12538374,12538374,authored_200,33
12580477,12580477,authored_200,2
13039848,,authored_200,17
13756293,13756293,legacy_presentation,97
14087893,14087893,authored_200,65538
14315573,14315573,legacy_presentation,1048580
14532163,14532163,authored_200,2
14558127,14558127,authored_200,4129
15025844,,authored_200,17
15150365,15150365,authored_200,33
15237615,15237615,authored_200,65
15960641,15960641,legacy_presentation,33
16178681,16178681,authored_200,16777249
16699558,16699558,legacy_presentation,8388641
17725109,17725109,legacy_presentation,2
17881964,17881964,authored_200,65
17947697,17947697,legacy_presentation,4129
18144506,18144506,authored_200,2
19066538,19066538,authored_200,65
19613556,19613556,authored_200,2
19665973,19665973,authored_200,33
20747792,20747792,legacy_presentation,33
21140872,21140872,authored_200,97
21417692,21417692,authored_200,33
21663205,21663205,authored_200,33
22134079,22134079,authored_200,33
22910685,,authored_200,17
23020408,23020408,authored_200,65538
23205979,23205979,authored_200,33
23424603,23424603,authored_200,524290
23434538,23434538,authored_200,33
23771716,,authored_200,17
24094653,24094653,authored_200,2
24224830,24224830,authored_200,65538
24382602,24382602,legacy_presentation,524290
24508238,24508238,authored_200,33
24611934,,authored_200,17
25789292,25789292,authored_200,65538
25880422,25880422,authored_200,2
26202165,26202165,authored_200,33
27204311,27204311,authored_200,33
28279543,,authored_200,17
28546905,,authored_200,17
28593363,28593363,authored_200,65
29401950,29401950,authored_200,4
30241314,30241314,authored_200,131076
30576089,30576089,authored_200,33
30603688,30603688,authored_200,33
31305911,31305911,authored_200,33
32452818,,authored_200,17
32566831,32566831,authored_200,2
33508719,33508719,authored_200,2097185
33698022,33698022,legacy_presentation,8225
34318086,34318086,legacy_presentation,33
34755994,34755994,legacy_presentation,67108897
36262024,36262024,legacy_presentation,33
36304921,,authored_200,17
37313348,,authored_200,17
37421579,37421579,authored_200,65
37742478,37742478,authored_200,33
38033121,38033121,authored_200,33
38120068,38120068,legacy_presentation,2
38342335,38342335,legacy_presentation,67108897
38517737,38517737,authored_200,33554465
39030163,39030163,legacy_presentation,8388641
39111158,,authored_200,17
39387565,39387565,authored_200,131076
40605147,40605147,authored_200,1048580
40640057,40640057,authored_200,33
40737112,40737112,authored_200,33
40908371,40908371,authored_200,8225
41396436,,authored_200,17
41420027,41420027,authored_200,1048580
41721210,41721210,authored_200,97
43219114,43219114,legacy_presentation,4
43321985,43321985,legacy_presentation,8225
43892408,43892408,legacy_presentation,97
44095762,44095762,authored_200,4
44330098,44330098,authored_200,33
44330099,,runtime_dependency,16401
23116809,,runtime_dependency,16401
40005099,,runtime_dependency,524290
15259703,15259703,runtime_dependency,131074
44397496,44397496,authored_200,4
44405066,44405066,authored_200,8388641
44508094,44508094,authored_200,8225
45042329,,authored_200,17
45349196,45349196,authored_200,97
45467446,45467446,authored_200,33
45644898,45644898,authored_200,4129
45986603,45986603,authored_200,262146
46052429,46052429,authored_200,130
46130346,46130346,authored_200,2
46411259,46411259,legacy_presentation,2
46657337,46657337,authored_200,33
46986414,,authored_200,17
47222536,47222536,authored_200,131074
47963370,47963370,legacy_presentation,161
48680970,48680970,authored_200,131076
48800175,48800175,authored_200,2
49010598,49010598,authored_200,1048580
50045299,50045299,authored_200,131076
50152549,50152549,authored_200,262146
50237654,50237654,authored_200,97
50913601,50913601,authored_200,524290
51452091,51452091,authored_200,131076
51482758,51482758,authored_200,2
51632798,51632798,legacy_presentation,33
51828629,51828629,authored_200,65
52097679,52097679,authored_200,2
52684508,52684508,legacy_presentation,2
53129443,53129443,authored_200,2
53582587,53582587,authored_200,4
54332792,54332792,legacy_presentation,4129
54541900,54541900,authored_200,65
54652250,54652250,authored_200,2097185
54693926,54693926,legacy_presentation,2
55144522,55144522,authored_200,2
55410871,55410871,authored_200,161
